Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Davide Formolo,UAE-Team Emirates,1670,146,248,1952,699,27,2020-02-06
Alberto Bettiol,EF Pro Cycling,312,176,408,304,1195,26,2020-02-06
Christophe Laporte,"Cofidis, Solutions Crédits",501,563,2106,39,1015,27,2020-02-06
Giulio Ciccone,Trek - Segafredo,479,80,94,1026,434,25,2020-02-06
Jack Haig,Mitchelton-Scott,1134,143,150,982,495,26,2020-02-06
Benoît Cosnefroy,AG2R La Mondiale,155,77,448,150,927,24,2020-02-06
Giacomo Nizzolo,NTT Pro Cycling,525,227,5430,224,2737,31,2020-02-06
Giovanni Visconti,Vini Zabù - KTM,1917,727,3640,3032,5426,37,2020-02-06
Andrea Vendrame,AG2R La Mondiale,214,98,530,368,640,25,2020-02-06
Michał Kwiatkowski,Team INEOS,3000,3050,1379,2484,3649,29,2020-02-06
Patrick Konrad,BORA - hansgrohe,1453,324,334,1560,752,28,2020-02-06
Warren Barguil,Team Arkéa Samsic,2030,73,406,2501,1023,28,2020-02-06
John Degenkolb,Lotto Soudal,923,268,8132,398,5197,31,2020-02-06
Tom Van Asbroeck,Israel Start-Up Nation,433,20,3342,106,1973,29,2020-02-06
Bob Jungels,Deceuninck - Quick Step,1989,2317,637,1380,1026,27,2020-02-06
Fausto Masnada,CCC Team,680,33,61,579,217,26,2020-02-06
Ben Hermans,Israel Start-Up Nation,2811,450,1070,1697,1203,33,2020-02-06
Laurens De Plus,Team Jumbo-Visma,645,245,76,471,125,24,2020-02-06
Davide Cimolai,Israel Start-Up Nation,425,6,1562,472,910,30,2020-02-06
Pello Bilbao,Bahrain - McLaren,1349,485,601,1810,590,29,2020-02-06
Sep Vanmarcke,EF Pro Cycling,667,264,2412,386,4057,31,2020-02-06
Tao Geoghegan Hart,Team INEOS,940,333,109,900,173,24,2020-02-06
Lilian Calmejane,Team Total Direct Energie,1034,179,706,850,602,27,2020-02-06
Iván Ramiro Sosa,Team INEOS,776,1,34,504,135,22,2020-02-06
Jasper De Buyst,Lotto Soudal,393,113,1208,119,993,26,2020-02-06
Valentin Madouas,Groupama - FDJ,385,64,291,394,654,23,2020-02-06
Cees Bol,Team Sunweb,162,118,874,60,435,24,2020-02-06
Gorka Izagirre,Astana Pro Team,1862,683,550,1704,1012,32,2020-02-06
Youcef Reguigui,Terengganu Inc. TSG Cycling Team,442,107,1948,129,384,30,2020-02-06
Marc Hirschi,Team Sunweb,287,66,130,174,309,21,2020-02-06
Daniel Felipe Martínez,EF Pro Cycling,856,501,34,546,210,23,2020-02-06
Mads Pedersen,Trek - Segafredo,456,694,798,108,1104,24,2020-02-06
Jens Keukeleire,EF Pro Cycling,1038,161,1922,306,1865,31,2020-02-06
Ilnur Zakarin,CCC Team,2972,1069,345,2685,401,30,2020-02-06
Aleksandr Vlasov,Astana Pro Team,465,57,82,329,65,23,2020-02-06
Niki Terpstra,Team Total Direct Energie,2357,1718,2702,270,4514,35,2020-02-06
Andrea Pasqualon,Circus - Wanty Gobert,502,74,2706,350,1693,32,2020-02-06
Jan Polanc,UAE-Team Emirates,1152,241,293,1202,431,27,2020-02-06
Mikel Nieve,Mitchelton-Scott,3236,31,141,3892,751,35,2020-02-06
